# First line is two numbers 
#     First value is '2', it means 'histogram mode'
#     Second value is 'Emin' of the histogram
# Other lines : 2 columns. 1) energy 2) Bin Width 2) frequency (nb divided by NbEvent)
# Number of bins = 1000
# Content below the first bin: 0
# Content above the last  bin: 0
# Number of events: 19993156
2 0
0.0775 0.001 40125.6
0.0785 0.001 41860.7
0.0795 0.001 43390.7
0.0805 0.001 41642
0.0815 0.001 41278.4
0.0825 0.001 43463
0.0835 0.001 40471.5
0.0845 0.001 41477.2
0.0855 0.001 44412.9
0.0865 0.001 44837.1
0.0875 0.001 45018.9
0.0885 0.001 43412.3
0.0895 0.001 48962.3
0.0905 0.001 43104.3
0.0915 0.001 45579.9
0.0925 0.001 46262
0.0935 0.001 44755.1
0.0945 0.001 45164.5
0.0955 0.001 53644.4
0.0965 0.001 46070
0.0975 0.001 53919.7
0.0985 0.001 54036.8
0.0995 0.001 48737.3
0.1005 0.001 51151.4
0.1015 0.001 58900.4
0.1025 0.001 54310.8
0.1035 0.001 57540.8
0.1045 0.001 59972
0.1055 0.001 56934
0.1065 0.001 55113
0.1075 0.001 60789.1
0.1085 0.001 67233.8
0.1095 0.001 63800.6
0.1105 0.001 72343.2
0.1115 0.001 72335.1
0.1125 0.001 70820.6
0.1135 0.001 77509.3
0.1145 0.001 87034.4
0.1155 0.001 91673
0.1165 0.001 88263
0.1175 0.001 87242.5
0.1185 0.001 93590.7
0.1195 0.001 104679
0.1205 0.001 106571
0.1215 0.001 105253
0.1225 0.001 110648
0.1235 0.001 119679
0.1245 0.001 124412
0.1255 0.001 125937
0.1265 0.001 125721
0.1275 0.001 131319
0.1285 0.001 135735
0.1295 0.001 146268
0.1305 0.001 150950
0.1315 0.001 141901
0.1325 0.001 151617
0.1335 0.001 157969
0.1345 0.001 167687
0.1355 0.001 175655
0.1365 0.001 184184
0.1375 0.001 190835
0.1385 0.001 199225
0.1395 0.001 207712
0.1405 0.001 207792
0.1415 0.001 217403
0.1425 0.001 224051
0.1435 0.001 232186
0.1445 0.001 229850
0.1455 0.001 243088
0.1465 0.001 231533
0.1475 0.001 250582
0.1485 0.001 241358
0.1495 0.001 254031
0.1505 0.001 275383
0.1515 0.001 271524
0.1525 0.001 300130
0.1535 0.001 312892
0.1545 0.001 301919
0.1555 0.001 293032
0.1565 0.001 299815
0.1575 0.001 312286
0.1585 0.001 348260
0.1595 0.001 345616
0.1605 0.001 343562
0.1615 0.001 334507
0.1625 0.001 362010
0.1635 0.001 366590
0.1645 0.001 397817
0.1655 0.001 373210
0.1665 0.001 425011
0.1675 0.001 403749
0.1685 0.001 408903
0.1695 0.001 438941
0.1705 0.001 433663
0.1715 0.001 454799
0.1725 0.001 437812
0.1735 0.001 468566
0.1745 0.001 489703
0.1755 0.001 495520
0.1765 0.001 481973
0.1775 0.001 480455
0.1785 0.001 520919
0.1795 0.001 505515
0.1805 0.001 539448
0.1815 0.001 540973
0.1825 0.001 539998
0.1835 0.001 574503
0.1845 0.001 554141
0.1855 0.001 594544
0.1865 0.001 597576
0.1875 0.001 590927
0.1885 0.001 613774
0.1895 0.001 618674
0.1905 0.001 644895
0.1915 0.001 680482
0.1925 0.001 741125
0.1935 0.001 694676
0.1945 0.001 744689
0.1955 0.001 815037
0.1965 0.001 794057
0.1975 0.001 855186
0.1985 0.001 909165
0.1995 0.001 1.06703e+06
0.2005 0.001 1.24013e+06
0.2015 0.001 1.2772e+06
0.2025 0.001 1.38206e+06
0.2035 0.001 1.4088e+06
0.2045 0.001 1.44547e+06
0.2055 0.001 1.51481e+06
0.2065 0.001 1.49689e+06
0.2075 0.001 1.57942e+06
0.2085 0.001 1.61969e+06
0.2095 0.001 1.61249e+06
0.2105 0.001 1.63602e+06
0.2115 0.001 1.66928e+06
0.2125 0.001 1.7358e+06
0.2135 0.001 1.71913e+06
0.2145 0.001 1.73536e+06
0.2155 0.001 1.81038e+06
0.2165 0.001 1.79987e+06
0.2175 0.001 1.77166e+06
0.2185 0.001 1.76962e+06
0.2195 0.001 1.836e+06
0.2205 0.001 1.77286e+06
0.2215 0.001 1.82225e+06
0.2225 0.001 1.8893e+06
0.2235 0.001 1.84033e+06
0.2245 0.001 1.85341e+06
0.2255 0.001 1.78938e+06
0.2265 0.001 1.88695e+06
0.2275 0.001 1.80333e+06
0.2285 0.001 1.8736e+06
0.2295 0.001 1.80017e+06
0.2305 0.001 1.77153e+06
0.2315 0.001 1.81364e+06
0.2325 0.001 1.83671e+06
0.2335 0.001 1.76316e+06
0.2345 0.001 1.87418e+06
0.2355 0.001 1.80493e+06
0.2365 0.001 1.7191e+06
0.2375 0.001 1.73684e+06
0.2385 0.001 1.74759e+06
0.2395 0.001 1.73886e+06
0.2405 0.001 1.70579e+06
0.2415 0.001 1.73378e+06
0.2425 0.001 1.67979e+06
0.2435 0.001 1.70504e+06
0.2445 0.001 1.67682e+06
0.2455 0.001 1.65719e+06
0.2465 0.001 1.61097e+06
0.2475 0.001 1.66547e+06
0.2485 0.001 1.65266e+06
0.2495 0.001 1.56495e+06
0.2505 0.001 1.67111e+06
0.2515 0.001 1.5724e+06
0.2525 0.001 1.56275e+06
0.2535 0.001 1.6016e+06
0.2545 0.001 1.58849e+06
0.2555 0.001 1.59801e+06
0.2565 0.001 1.5438e+06
0.2575 0.001 1.56817e+06
0.2585 0.001 1.52511e+06
0.2595 0.001 1.46373e+06
0.2605 0.001 1.5598e+06
0.2615 0.001 1.51753e+06
0.2625 0.001 1.49627e+06
0.2635 0.001 1.46475e+06
0.2645 0.001 1.43075e+06
0.2655 0.001 1.43613e+06
0.2665 0.001 1.44385e+06
0.2675 0.001 1.46562e+06
0.2685 0.001 1.43334e+06
0.2695 0.001 1.42193e+06
0.2705 0.001 1.41825e+06
0.2715 0.001 1.38956e+06
0.2725 0.001 1.41067e+06
0.2735 0.001 1.40297e+06
0.2745 0.001 1.38528e+06
0.2755 0.001 1.358e+06
0.2765 0.001 1.35641e+06
0.2775 0.001 1.3267e+06
0.2785 0.001 1.32079e+06
0.2795 0.001 1.31184e+06
0.2805 0.001 1.3326e+06
0.2815 0.001 1.2481e+06
0.2825 0.001 1.28775e+06
0.2835 0.001 1.29141e+06
0.2845 0.001 1.29987e+06
0.2855 0.001 1.28879e+06
0.2865 0.001 1.30161e+06
0.2875 0.001 1.3071e+06
0.2885 0.001 1.28167e+06
0.2895 0.001 1.2086e+06
0.2905 0.001 1.19454e+06
