# First line is two numbers 
#     First value is '2', it means 'histogram mode'
#     Second value is 'Emin' of the histogram
# Other lines : 2 columns. 1) energy 2) Bin Width 2) frequency (nb divided by NbEvent)
# Number of bins = 1000
# Content below the first bin: 0
# Content above the last  bin: 0
# Number of events: 36845
2 0
0.6905 0.001 0
0.6915 0.001 0
0.6925 0.001 0
0.6935 0.001 0
0.6945 0.001 0
0.6955 0.001 0
0.6965 0.001 0
0.6975 0.001 0
0.6985 0.001 0
0.6995 0.001 0
0.7005 0.001 0
0.7015 0.001 0
0.7025 0.001 0
0.7035 0.001 0
0.7045 0.001 0
0.7055 0.001 0
0.7065 0.001 0
0.7075 0.001 0
0.7085 0.001 0
0.7095 0.001 0
0.7105 0.001 0
0.7115 0.001 0
0.7125 0.001 0
0.7135 0.001 0
0.7145 0.001 0
0.7155 0.001 0
0.7165 0.001 0
0.7175 0.001 0
0.7185 0.001 0
0.7195 0.001 0
0.7205 0.001 0
0.7215 0.001 0
0.7225 0.001 0
0.7235 0.001 0
0.7245 0.001 0
0.7255 0.001 0
0.7265 0.001 0
0.7275 0.001 0
0.7285 0.001 0
0.7295 0.001 0
0.7305 0.001 0
0.7315 0.001 0
0.7325 0.001 0
0.7335 0.001 0
0.7345 0.001 0
0.7355 0.001 0
0.7365 0.001 0
0.7375 0.001 0
0.7385 0.001 0
0.7395 0.001 0
0.7405 0.001 0
0.7415 0.001 0
0.7425 0.001 0
0.7435 0.001 0
0.7445 0.001 0
0.7455 0.001 0
0.7465 0.001 0
0.7475 0.001 0
0.7485 0.001 0
0.7495 0.001 0
0.7505 0.001 0
0.7515 0.001 0
0.7525 0.001 0
0.7535 0.001 0
0.7545 0.001 0
0.7555 0.001 0
0.7565 0.001 0
0.7575 0.001 0
0.7585 0.001 0
0.7595 0.001 0
0.7605 0.001 0
0.7615 0.001 0
0.7625 0.001 0
0.7635 0.001 0
0.7645 0.001 0
0.7655 0.001 0
0.7665 0.001 0
0.7675 0.001 0
0.7685 0.001 0
0.7695 0.001 0
0.7705 0.001 0
0.7715 0.001 0
0.7725 0.001 0
0.7735 0.001 0
0.7745 0.001 0
0.7755 0.001 0
0.7765 0.001 0
0.7775 0.001 0
0.7785 0.001 0
0.7795 0.001 0
0.7805 0.001 0
0.7815 0.001 0
0.7825 0.001 0
0.7835 0.001 0
0.7845 0.001 0
0.7855 0.001 0
0.7865 0.001 0
0.7875 0.001 0
0.7885 0.001 0
0.7895 0.001 0
0.7905 0.001 0
0.7915 0.001 0
0.7925 0.001 0
0.7935 0.001 0
0.7945 0.001 0
0.7955 0.001 0
0.7965 0.001 0
0.7975 0.001 0
0.7985 0.001 0
0.7995 0.001 0
0.8005 0.001 0
0.8015 0.001 0
0.8025 0.001 0
0.8035 0.001 0
0.8045 0.001 0
0.8055 0.001 0
0.8065 0.001 0
0.8075 0.001 0
0.8085 0.001 0
0.8095 0.001 0
0.8105 0.001 0
0.8115 0.001 0
0.8125 0.001 0
0.8135 0.001 0
0.8145 0.001 0
0.8155 0.001 0
0.8165 0.001 0
0.8175 0.001 0
0.8185 0.001 0
0.8195 0.001 0
0.8205 0.001 0
0.8215 0.001 0
0.8225 0.001 0
0.8235 0.001 0
0.8245 0.001 0
0.8255 0.001 0
0.8265 0.001 0
0.8275 0.001 0
0.8285 0.001 0
0.8295 0.001 0
